moteid,temperature,humidity,light,voltage,dtime
9.0,23.2322,33.3857,1847.36,2.74963,2004-03-02 10:30:23.435732
22.0,17.1072,46.2953,71.76,2.58226,2004-03-01 03:18:51.364989
11.0,19.5278,41.6461,3.68,2.56,2004-02-28 19:13:21.006994
41.0,18.8418,40.6355,45.08,2.66332,2004-02-28 22:33:19.800370
22.0,18.489,40.5004,0.46,2.60491,2004-02-28 23:45:19.916329
25.0,23.0264,35.7494,1552.96,2.69964,2004-02-29 13:57:20.288207
24.0,20.498,28.6877,143.52,2.67532,2004-03-02 23:54:54.700192
20.0,20.6548,39.3823,34.04,2.71196,2004-02-28 18:46:52.862045
25.0,17.7932,41.8476,0.92,2.63964,2004-03-02 02:19:24.647941
6.0,17.852,39.5521,114.08,2.62796,2004-02-28 06:32:17.093843
42.0,15.9704,50.7707,3.68,2.62796,2004-03-01 02:59:26.267716
31.0,27.3384,33.2808,890.56,2.73696,2004-03-01 13:20:27.978152
18.0,18.8712,41.2425,412.16,2.48502,2004-02-29 08:36:22.956210
30.0,16.6172,43.019,104.88,2.67532,2004-02-28 05:20:46.379152
31.0,22.0072,38.497,861.12,2.69964,2004-02-29 14:42:24.481626
50.0,22.0758,37.0933,456.32,2.71196,2004-02-28 17:14:21.150442
46.0,18.146,43.1858,250.24,2.50599,2004-02-29 10:03:54.925076
3.0,17.803,42.8187,46.92,2.65143,2004-02-29 05:55:23.700890
30.0,26.4564,26.824,1847.36,2.74963,2004-02-28 10:16:48.330567
52.0,16.9994,41.6461,53.36,2.63964,2004-02-28 02:42:16.699844
43.0,16.2056,46.5577,26.68,2.63964,2004-02-29 06:34:53.433534
48.0,18.9888,44.2831,60.72,2.68742,2004-02-29 17:42:56.613917
48.0,22.8794,28.7591,1376.32,2.69964,2004-03-02 17:53:39.012525
21.0,26.3388,26.752,353.28,2.7244,2004-03-02 11:20:40.977744
11.0,16.9798,46.4265,0.46,2.60491,2004-03-02 01:53:33.202890
2.0,18.2636,44.879,121.44,2.62796,2004-03-01 03:55:51.716968
16.0,21.0272,40.0945,1847.36,2.62796,2004-02-29 12:03:49.526366
46.0,23.7908,34.1184,507.84,2.53812,2004-02-28 15:12:19.283650
23.0,21.8308,27.9727,250.24,2.66332,2004-03-02 21:43:54.578928
10.0,19.6356,42.5178,684.48,2.66332,2004-02-29 11:03:23.662148
11.0,20.0276,44.2831,596.16,2.66332,2004-02-29 15:35:54.551273
7.0,19.8316,40.7706,150.88,2.67532,2004-02-29 17:16:28.989661
44.0,25.9664,30.7486,1847.36,2.76242,2004-02-28 15:19:19.997984
47.0,17.3228,46.0983,97.52,2.62796,2004-03-02 00:05:05.291455
4.0,20.9978,37.9845,97.52,2.66332,2004-02-28 19:33:51.011426
15.0,19.2044,43.2525,1.84,2.4441200000000003,2004-02-29 18:42:26.000882
53.0,17.6952,46.6232,3.22,2.63964,2004-02-29 20:12:01.140467
20.0,21.772,30.5363,35.88,2.68742,2004-03-02 20:30:57.425258
31.0,22.2032,36.2673,309.12,2.7244,2004-02-28 17:01:48.364079
43.0,17.8128,41.81399999999999,26.68,2.65143,2004-02-29 01:08:51.145175
9.0,19.567,42.183,202.4,2.74963,2004-02-29 17:38:25.982532
25.0,19.861,40.1622,97.52,2.69964,2004-02-28 21:40:48.362244
44.0,19.9884,29.7916,37.72,2.65143,2004-03-02 22:30:57.403482
30.0,19.4004,43.4857,114.08,2.66332,2004-03-01 22:11:23.345014
26.0,16.8818,48.9675,104.88,2.63964,2004-03-01 03:13:51.572284
14.0,24.4474,38.4629,224.48,2.73696,2004-03-01 13:31:22.855077
11.0,16.6956,44.5813,2.3,2.56,2004-02-28 03:48:46.834467
45.0,19.7042,41.1751,68.08,2.66332,2004-03-01 20:45:31.418984
16.0,17.8618,43.2858,1.38,2.62796,2004-02-29 00:05:20.128396
9.0,20.057,41.9818,802.24,2.74963,2004-02-29 16:09:50.902521
16.0,17.9696,45.572,1.38,2.60491,2004-02-29 23:06:55.143849
52.0,20.8998,37.8134,338.56,2.67532,2004-02-28 11:41:17.240364
29.0,21.8112,37.5394,187.68,2.71196,2004-02-28 17:54:18.154085
25.0,20.204,40.3652,101.2,2.67532,2004-03-01 22:10:24.297285
40.0,24.1632,37.2993,294.4,2.71196,2004-03-01 16:08:07.283136
7.0,18.2146,39.2803,97.52,2.68742,2004-02-28 04:51:16.897702
40.0,17.0876,40.7706,165.6,2.67532,2004-02-28 06:18:16.871436
51.0,17.3522,40.399,136.16,2.67532,2004-02-28 02:19:46.381004
48.0,23.4772,34.2925,831.68,2.73696,2004-02-28 13:41:18.860266
2.0,19.0476,39.5521,121.44,2.67532,2004-02-28 02:54:46.162074
44.0,16.9798,41.6461,97.52,2.66332,2004-02-28 02:56:16.444689
2.0,19.4004,41.3771,104.88,2.63964,2004-03-02 00:45:23.336468
41.0,18.9496,42.6516,121.44,2.65143,2004-03-01 22:38:33.402948
20.0,24.6434,31.9832,1376.32,2.71196,2004-03-02 10:34:00.492133
31.0,20.3118,42.0489,235.52,2.65143,2004-03-01 08:07:51.730195
38.0,21.527,38.497,1376.32,2.65143,2004-02-29 14:34:57.266294
9.0,19.0182,42.7185,1.38,2.7244,2004-03-02 00:08:54.159549
9.0,20.0668,38.1555,235.52,2.7244,2004-03-02 07:07:19.749949
23.0,19.322,41.1078,353.28,2.65143,2004-02-29 08:43:54.256552
40.0,17.0288,44.7137,0.92,2.63964,2004-03-02 04:22:06.369537
1.0,25.8194,35.0915,136.16,2.73696,2004-03-01 13:51:22.744046
14.0,17.6952,45.8353,0.46,2.67532,2004-03-01 01:51:06.594566
29.0,27.7892,26.3557,743.36,2.73696,2004-03-02 10:30:54.395463
13.0,16.578,47.212,0.46,2.60491,2004-03-02 03:41:04.155619
26.0,18.881,41.8812,8.28,2.67532,2004-02-28 22:50:51.262272
52.0,17.4796,40.9055,57.04,2.65143,2004-02-28 01:57:46.272217
34.0,19.6454,46.3609,264.96,2.65143,2004-03-01 10:37:03.505614
48.0,17.8716,43.8183,537.28,2.67532,2004-02-29 09:59:58.436001
44.0,20.3216,46.8197,1494.08,2.67532,2004-03-01 14:13:21.699430
37.0,21.6152,39.1443,195.04,2.71196,2004-02-28 18:34:18.487303
36.0,20.5862,47.799,368.0,2.67532,2004-03-01 12:39:59.675481
45.0,17.1464,39.62,684.48,2.66332,2004-02-28 08:00:46.939902
6.0,18.9594,41.9818,114.08,2.61639,2004-02-29 21:41:55.833705
29.0,26.77,27.7578,772.8,2.76242,2004-02-28 13:59:47.906673
17.0,22.4384,34.8139,250.24,2.62796,2004-02-28 17:00:48.193217
40.0,22.85,37.8477,250.24,2.69964,2004-03-01 09:41:29.857342
16.0,16.7936,45.0442,0.92,2.60491,2004-02-29 01:57:54.291850
38.0,18.7928,42.8521,180.32,2.62796,2004-02-29 20:03:51.810734
21.0,28.2302,22.2453,187.68,2.73696,2004-03-02 16:02:03.680539
24.0,26.3486,31.208,143.52,2.76242,2004-03-01 18:04:23.203051
13.0,18.6556,32.6855,128.8,2.61639,2004-03-02 23:31:55.593032
47.0,16.3624,49.678,0.46,2.62796,2004-03-01 03:38:23.275020
29.0,22.4384,39.4162,180.32,2.68742,2004-03-01 18:31:22.084115
19.0,17.6266,40.0268,39.56,2.67532,2004-02-28 03:36:46.580714
1.0,17.5384,42.8521,43.24,2.66332,2004-02-29 06:04:52.483283
38.0,19.6356,42.1495,235.52,2.63964,2004-02-29 17:17:58.795511
16.0,22.654,32.0887,1847.36,2.63964,2004-03-02 12:36:35.831271
4.0,22.6148,34.0836,368.0,2.69964,2004-02-28 10:40:17.802477
43.0,21.282,39.5521,150.88,2.67532,2004-03-01 08:38:57.042057
51.0,18.4596,44.9782,71.76,2.65143,2004-03-01 07:42:23.896601
23.0,18.1852,38.5311,224.48,2.67532,2004-02-28 04:03:46.849198
4.0,18.6458,44.0508,97.52,2.60491,2004-03-01 02:39:21.595648
49.0,15.3922,46.5577,235.52,2.62796,2004-02-29 07:59:53.936193
20.0,19.224,43.4524,15.64,2.67532,2004-02-29 18:28:21.496170
23.0,17.117,43.0524,0.92,2.62796,2004-03-02 04:58:53.193008
13.0,24.5356,31.1727,1023.04,2.68742,2004-03-02 10:05:59.786119
21.0,16.5486,48.3517,86.48,2.62796,2004-03-01 06:19:21.193157
23.0,16.8916,43.4524,9.2,2.61639,2004-03-02 06:50:37.054048
43.0,20.7724,42.11600000000001,136.16,2.67532,2004-03-01 19:30:40.500968
38.0,23.1048,29.2225,264.96,2.66332,2004-03-02 16:48:00.814767
21.0,19.0966,41.478,93.84,2.65143,2004-02-29 22:33:59.928591
36.0,20.8704,32.4751,79.12,2.65143,2004-03-02 21:39:55.529817
11.0,17.1464,43.9844,1.84,2.56,2004-02-28 02:56:46.059246
47.0,15.7548,48.5139,0.46,2.61639,2004-03-02 04:29:24.720336
46.0,18.9006,44.1836,53.36,2.49546,2004-02-29 18:11:00.051963
10.0,23.6536,38.9742,537.28,2.69964,2004-03-01 12:02:22.649611
46.0,17.9108,45.0112,30.36,2.48502,2004-02-29 22:03:56.291909
11.0,16.1272,47.9617,0.46,2.60491,2004-03-02 04:27:32.812571
42.0,18.734,41.5116,3.68,2.68742,2004-02-28 20:48:18.221254
43.0,17.8128,38.872,426.88,2.65143,2004-02-28 04:11:46.881648
2.0,23.6732,31.2433,382.72,2.67532,2004-03-02 13:28:55.600064
1.0,25.1922,30.0756,368.0,2.7244,2004-03-02 09:29:30.975550
14.0,24.3494,32.5803,294.4,2.7244,2004-03-02 09:03:06.066628
52.0,19.5572,43.019,37.72,2.62796,2004-03-01 07:34:59.103959
4.0,21.72300000000001,36.8871,114.08,2.68742,2004-02-28 17:43:18.156154
14.0,16.2938,46.4593,0.46,2.67532,2004-02-29 05:18:52.708790
48.0,18.293,44.6475,43.24,2.67532,2004-02-29 20:11:28.138426
22.0,16.2742,45.4402,0.46,2.57108,2004-02-29 03:47:25.231202
24.0,29.0338,28.9731,684.48,2.77533,2004-03-01 12:04:31.396540
45.0,27.7598,30.8901,478.4,2.74963,2004-03-01 12:41:31.689582
33.0,17.4698,39.8235,97.52,2.68742,2004-02-28 05:55:17.219543
37.0,22.8108,37.2993,279.68,2.7244,2004-02-28 17:08:50.844154
2.0,24.0064,38.8379,187.68,2.68742,2004-03-01 15:24:27.455015
37.0,25.2902,33.2808,772.8,2.69964,2004-03-02 08:41:43.870820
16.0,23.1636,34.7445,1847.36,2.67532,2004-02-28 14:34:18.339257
47.0,19.4592,41.8812,1376.32,2.66332,2004-02-29 10:48:19.912872
19.0,21.1252,39.0422,143.52,2.67532,2004-03-01 21:25:28.453136
23.0,22.0758,36.8871,478.4,2.68742,2004-02-29 11:54:26.022899
40.0,16.7838,48.449,104.88,2.63964,2004-03-01 05:40:36.633380
38.0,17.656,42.11600000000001,172.96,2.62796,2004-02-29 02:56:50.099786
23.0,29.7492,26.3197,250.24,2.76242,2004-03-01 17:52:53.577907
23.0,18.2734,40.7031,0.92,2.66332,2004-02-29 00:59:21.048106
54.0,20.6352,29.9336,50.6,2.65143,2004-03-02 18:36:00.296237
14.0,24.41800000000001,36.6118,136.16,2.74963,2004-03-01 16:54:38.148316
20.0,20.7724,41.8476,32.2,2.68742,2004-03-01 21:13:23.202070
29.0,17.2052,47.212,158.24,2.63964,2004-03-01 02:29:51.322371
12.0,15.5098,48.5464,0.46,2.62796,2004-02-29 06:14:18.732006
53.0,20.351,40.4328,0.46,2.69964,2004-02-28 18:27:50.573146
44.0,25.8194,35.2302,1847.36,2.7244,2004-03-01 12:46:57.887618
23.0,22.1738,36.8527,478.4,2.68742,2004-02-29 11:57:55.136853
26.0,18.5772,44.5813,114.08,2.65143,2004-02-29 20:14:20.614639
39.0,18.4498,43.1191,3.22,2.65143,2004-03-02 01:18:09.330900
23.0,23.9476,31.948,397.44,2.7244,2004-02-28 15:38:50.758295
7.0,20.5078,37.7792,104.88,2.69964,2004-02-28 20:29:48.787378
45.0,16.382,45.5061,0.46,2.62796,2004-03-02 03:21:37.815755
25.0,25.7802,32.1941,412.16,2.7244,2004-03-01 09:54:21.689426
3.0,17.8422,45.2423,46.92,2.65143,2004-03-01 05:35:59.991129
50.0,15.7058,53.1899,180.32,2.62796,2004-03-01 07:54:35.791784
9.0,22.5168,38.1897,596.16,2.76242,2004-03-01 09:29:57.639229
30.0,27.9362,26.932,1847.36,2.73696,2004-03-02 09:19:53.908169
42.0,24.7708,31.5959,1199.68,2.74963,2004-02-28 12:45:17.353792
4.0,22.7912,30.3238,128.8,2.67532,2004-03-02 16:16:53.250728
11.0,18.1166,45.5391,2.3,2.53812,2004-02-29 23:04:55.476456
19.0,18.9202,42.183,41.4,2.65143,2004-02-29 21:49:20.780206
49.0,21.3408,37.3679,24.84,2.69964,2004-02-28 17:57:51.484682
12.0,19.6748,44.2499,802.24,2.67532,2004-02-29 15:37:19.815422
21.0,32.846,23.7814,180.32,2.80151,2004-03-01 15:14:22.411429
30.0,25.8096,29.8981,1847.36,2.74963,2004-02-28 14:21:18.103205
26.0,18.7732,44.1836,114.08,2.66332,2004-02-29 19:23:20.545821
42.0,15.3236,48.5139,0.46,2.60491,2004-03-02 05:31:17.500004
44.0,17.4208,45.1103,34.04,2.63964,2004-03-02 00:12:31.626907
41.0,26.8778,25.0902,1494.08,2.7244,2004-03-02 12:13:49.134693
17.0,20.2922,41.3098,209.76,2.58226,2004-02-29 15:55:49.609886
21.0,19.8022,40.3652,97.52,2.67532,2004-02-29 18:58:23.435939
4.0,21.086,37.745,97.52,2.66332,2004-02-28 19:12:21.692432
48.0,20.4196,41.2425,478.4,2.69964,2004-02-29 14:01:56.610710
2.0,21.38,40.4328,309.12,2.67532,2004-02-29 14:47:27.480517
50.0,16.3232,49.0645,28.52,2.62796,2004-03-01 23:18:29.908442
37.0,20.2726,44.0176,209.76,2.68742,2004-02-29 17:37:19.783736
37.0,18.342,47.3752,187.68,2.65143,2004-03-01 02:28:01.353764
42.0,19.567,39.2803,507.84,2.67532,2004-02-29 09:02:54.107510
21.0,22.1836,27.9011,136.16,2.67532,2004-03-02 20:41:25.572291
23.0,25.79,29.1157,566.72,2.73696,2004-02-28 12:41:47.543084
8.0,18.8712,39.62,108.56,2.68742,2004-02-29 00:43:19.784619
42.0,24.2808,28.402,1140.8,2.69964,2004-03-02 15:12:25.137787
49.0,18.5772,41.4444,0.46,2.67532,2004-02-28 20:50:49.527041
47.0,19.9394,29.1869,655.04,2.65143,2004-03-02 23:25:28.285113
22.0,17.5384,45.572,71.76,2.58226,2004-03-01 01:16:04.750990
32.0,19.028,40.8043,114.08,2.67532,2004-02-28 22:07:20.281133
4.0,21.3702,37.4708,97.52,2.67532,2004-02-28 18:30:17.652992
22.0,23.8496,33.7698,209.76,2.69964,2004-03-01 07:24:27.446352
16.0,15.696,51.7933,1.38,2.57108,2004-03-01 06:17:32.409115
48.0,17.95,39.62,684.48,2.68742,2004-02-28 09:05:16.991012
9.0,18.0774,42.25,104.88,2.73696,2004-02-29 03:27:52.023408
18.0,19.4102,41.1078,4.14,2.49546,2004-02-29 19:49:20.726563
40.0,23.2812,30.6071,478.4,2.68742,2004-03-02 16:05:45.568109
18.0,22.4776,28.5449,180.32,2.49546,2004-03-02 19:38:25.154019
7.0,22.752,36.3018,202.4,2.69964,2004-03-01 09:09:22.906618
20.0,19.1162,43.519,34.04,2.66332,2004-03-01 23:27:34.963762
1.0,17.1954,46.5577,48.76,2.63964,2004-03-01 06:59:21.068814
26.0,28.9064,25.6696,1729.6,2.74963,2004-03-02 10:39:41.989513
3.0,21.0468,39.8913,323.84,2.68742,2004-02-29 13:42:25.558588
21.0,18.2048,44.2168,90.16,2.65143,2004-03-01 01:32:51.537405
33.0,18.244,40.8381,97.52,2.67532,2004-02-29 02:27:49.415254
9.0,17.3718,41.3098,158.24,2.73696,2004-02-28 06:46:17.252423
11.0,19.5376,40.399,3.68,2.54901,2004-02-28 22:44:24.302909
18.0,17.852,39.6878,2.76,2.49546,2004-02-28 03:10:16.958175
4.0,19.2338,39.4842,97.52,2.65143,2004-02-28 02:53:46.769614
40.0,21.3114,43.4524,121.44,2.68742,2004-03-01 18:39:34.745051
26.0,25.8292,35.4034,507.84,2.7244,2004-03-01 11:45:21.858545
39.0,16.8524,45.6379,3.68,2.62796,2004-03-02 06:22:01.443397
48.0,22.3404,29.8626,890.56,2.69964,2004-03-02 14:29:47.233450
47.0,20.8704,35.611,1847.36,2.66332,2004-03-02 11:58:08.063933
48.0,22.7618,30.6071,537.28,2.69964,2004-03-02 12:43:33.586455
35.0,21.8014,39.8235,802.24,2.63964,2004-02-29 12:43:22.277476
